url,site_lot_id,actual_bid,opening_date,ending_date,minimal_increment,lot_status,brand,model,year,appraisal_value,location
https://www.lut.com.br//lote/motocicleta-honda-cg/83971,83971,"R$ 1.409,80",29/03/2021,03/05/2021 10:30:00,"R$ 100,00",Fechado,Honda,HONDA CG 125,1989,"R$ 2.014,00",SANTA CRUZ DO RIO PARDO/SP
https://www.lut.com.br//lote/veiculo-nissan-x-trail-se/84318,84318,"R$ 33.600,00",12/04/2021,03/05/2021 10:30:00,"R$ 1.000,00",Fechado,Nissan,NISSAN X TRAIL SE,2008,"R$ 56.000,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-reboque-free-hobby/83970,83970,"R$ 1.200,00",29/03/2021,03/05/2021 10:00:00,"R$ 100,00",Fechado,Not Found,FREE HOBBY,2012,"R$ 2.000,00",SÃO JOSÉ DO RIO PRETO/SP
https://www.lut.com.br//lote/veiculo-volkswagen-gol-v/83731,83731,"R$ 7.508,00",30/04/2021,03/05/2021 10:00:00,"R$ 250,00",Fechado,Volkswagen,GOL 16V,1999,"R$ 7.508,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-chevrolet-meriva/83968,83968,"R$ 11.033,50",29/03/2021,03/05/2021 10:00:00,"R$ 1.000,00",Fechado,Chevrolet,/ MERIVA,2009,"R$ 22.067,00",SÃO PAULO/SP
https://www.lut.com.br//lote/veiculo-volkswagen-fox/83969,83969,"R$ 9.800,00",29/03/2021,03/05/2021 10:00:00,"R$ 300,00",Fechado,Volkswagen,FOX,2008,"R$ 19.600,00",CAMPINAS/SP
https://www.lut.com.br//lote/motocicleta-honda-fan/83964,83964,"R$ 1.250,00",29/03/2021,03/05/2021 09:30:00,"R$ 100,00",Fechado,Honda,HONDA FAN 125,defabricação2005,"R$ 2.500,00",CAMPINAS/SP
https://www.lut.com.br//lote/motocicleta-honda-cg/83952,83952,"R$ 1.800,00",26/03/2021,30/04/2021 10:30:00,"R$ 100,00",Fechado,Honda,HONDA CG125,2002,"R$ 3.000,00",Minas Gerais/SP
https://www.lut.com.br//lote/veiculo-vw-novo-gol/83951,83951,"R$ 16.200,00",26/03/2021,30/04/2021 10:00:00,"R$ 1.000,00",Fechado,Not Found,/ NOVO GOL,defabricação2014,"R$ 27.000,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-volkswagen-gol/83690,83690,"R$ 12.000,00",27/04/2021,30/04/2021 09:30:00,"R$ 1.000,00",Fechado,Volkswagen,GOL 1.0,2009,"R$ 12.000,00",RESTINGA/SP
